time,l speed,r speed,l error,l effort,r error,r effort
8430,669.701,707.6086,-569.701,-45.76908,-607.6086,-47.22475
8481,676.019,713.9266,-576.019,-46.06917,-613.9266,-47.54417
8532,682.3369,713.9266,-582.3369,-46.37248,-613.9266,-47.85727
8584,694.0007,706.3936,-594.0007,-46.69303,-606.3936,-48.16506
8635,669.701,701.2906,-569.701,-46.95928,-601.2906,-48.46662
8686,688.6548,701.2906,-588.6548,-47.27844,-601.2906,-48.77328
8737,688.6548,694.9728,-588.6548,-47.57866,-594.9728,-49.0704
8788,682.3369,713.9266,-582.3369,-47.86933,-613.9266,-49.40245
8839,676.019,701.2906,-576.019,-48.15678,-601.2906,-49.69648
8890,669.701,720.2445,-569.701,-48.44101,-620.2445,-50.03176
8943,668.7474,717.3835,-568.7474,-48.7415,-617.3835,-50.35611
8994,657.0652,720.2445,-557.0652,-49.01391,-620.2445,-50.67529
9045,657.0652,739.1983,-557.0652,-49.29802,-639.1983,-51.02024
9096,650.7472,720.2445,-550.7472,-49.57258,-620.2445,-51.3176
9147,657.0652,726.5624,-557.0652,-49.863,-626.5624,-51.64347
9198,644.4293,713.9266,-544.4293,-50.12802,-613.9266,-51.94394
9249,657.0652,707.6086,-557.0652,-50.42476,-607.6086,-52.2475
9301,669.215,712.59,-569.215,-50.7329,-612.59,-52.57103
9352,650.7472,694.9728,-550.7472,-50.99531,-594.9728,-52.85685
9403,663.3831,707.6086,-563.3831,-51.29527,-607.6086,-53.17937
9454,650.7472,713.9266,-550.7472,-51.56351,-613.9266,-53.49878
9505,663.3831,720.2445,-563.3831,-51.86348,-620.2445,-53.82142
9556,663.3831,720.2445,-563.3831,-52.1508,-620.2445,-54.13774
9607,663.3831,720.2445,-563.3831,-52.43813,-620.2445,-54.45407
9659,663.0186,718.7865,-563.0186,-52.73053,-618.7865,-54.77438
9710,657.0652,713.9266,-557.0652,-53.00867,-613.9266,-55.08262
9761,650.7472,713.9266,-550.7472,-53.28324,-613.9266,-55.39572
9812,657.0652,707.6086,-557.0652,-53.57365,-607.6086,-55.69929
9863,663.3831,701.2906,-563.3831,-53.8673,-601.2906,-55.99963
9914,657.0652,701.2906,-557.0652,-54.14508,-601.2906,-56.30629
9965,657.0652,701.2906,-557.0652,-54.42918,-601.2906,-56.61295
