10661475,-3582,-3581,7.816417,-7.51072,-7971.954
10772140,-3529,-3529,32.70442,-53.38272,-2231.954
10879877,-3480,-3480,-11.21558,-3.11872,1268.046
10990458,-3428,-3428,57.59242,5.66528,3018.046
11100064,-3377,-3377,-22.43958,-57.77472,1898.046
11209505,-3324,-3324,7.816417,26.64928,2878.046
11319617,-3271,-3271,-27.31958,-34.35072,2038.046
11427306,-3218,-3218,51.24842,35.92128,2458.046
11537429,-3162,-3162,-18.53558,14.93728,-61.95404
11645013,-3108,-3108,11.23242,-45.08672,5118.046
11752668,-3052,-3052,29.77642,29.08928,-621.954
11861530,-2995,-2995,-28.29558,-35.32672,-61.95404
11970064,-2938,-2938,34.16842,-7.51072,-2861.954
12079529,-2879,-2879,41.00042,15.91328,-2721.954
12188258,-2820,-2819,30.75242,-11.41472,1548.046
12297966,-2760,-2760,-64.40759,49.58528,-2511.954
12407530,-2696,-2696,28.31242,17.86528,-12031.95
12517041,-2631,-2631,31.24042,34.94528,-16021.95
12624826,-2567,-2567,-6.335583,32.01728,-3071.954
12734376,-2506,-2505,11.72042,13.47328,1478.046
12841125,-2446,-2446,-30.24759,-30.93472,-2511.954
12949668,-2381,-2381,71.25642,-2.63072,-11681.95
